corrResp,xpos,demo1trials.thisRepN,demo1trials.thisTrialN,demo1trials.thisN,demo1trials.thisIndex,demo2trials.thisRepN,demo2trials.thisTrialN,demo2trials.thisN,demo2trials.thisIndex,Practicing.thisRepN,Practicing.thisTrialN,Practicing.thisN,Practicing.thisIndex,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,FinanceProblems.thisRepN,FinanceProblems.thisTrialN,FinanceProblems.thisN,FinanceProblems.thisIndex,ProblemHigh,ProblemLow,SpatialLoop.thisRepN,SpatialLoop.thisTrialN,SpatialLoop.thisN,SpatialLoop.thisIndex,img,demoinput.keys,demoinput.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,session,participant,manigroup,frameRate,expName,date,stimorder,
1,-0.25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,TessImages/1.jpg,1,0.914833107701,,,,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
0,0.25,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,TessImages/1.jpg,0,0.306986549171,,,,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
0,-0.25,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,TessImages/2.jpg,0,0.592354163906,,,,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
1,0.25,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,TessImages/2.jpg,1,0.157786627387,,,,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
1,-0.25,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,TessImages/1.jpg,,,1,1,0.518280106364,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
0,0.25,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,TessImages/1.jpg,,,0,1,0.383877770859,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
1,0.25,,,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,TessImages/2.jpg,,,1,1,0.550471104099,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
1,0.25,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,TessImages/2.jpg,,,1,1,0.4014791339,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
0,-0.25,,,,,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,TessImages/2.jpg,,,1,0,0.423526912782,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
0,-0.25,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,TessImages/2.jpg,,,0,1,0.570960138459,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
1,-0.25,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,TessImages/1.jpg,,,1,1,0.452742774563,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
0,0.25,,,,,,,,,0,0,0,0,0,7,7,1,,,,,,,,,,,TessImages/1.jpg,,,0,1,0.487598765845,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,,H,57.8132715538,Financial Problems Task,2020_Jun_03_1654,1,
