2.8594 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
8.0868 	WARNING 	User requested fullscreen with size [1463  823], but screen is actually [2560, 1440]. Using actual size
9.4427 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1A45EE70>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4427 	EXP 	window1: recordFrameIntervals = False
9.6280 	EXP 	window1: recordFrameIntervals = True
9.8184 	EXP 	window1: recordFrameIntervals = False
10.1152 	EXP 	Created Instr1Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='Instr1Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
10.1269 	EXP 	Created Instr2Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='Instr2Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units='height', win=Window(...), wrapWidth=1)
10.1775 	EXP 	Created Instr3Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='Instr3Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
10.1895 	EXP 	Created Fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='height', win=Window(...), wrapWidth=1)
10.1922 	EXP 	Created stim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.2,  0.2]), texRes=128, units='height', win=Window(...))
10.2041 	EXP 	Created answerprompt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='answerprompt', opacity=1.0, ori=0, pos=array([ 0. ,  0.4]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units='height', win=Window(...), wrapWidth=1)
10.3744 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
10.4263 	EXP 	Created Instr3Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='Instr3Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
10.4297 	EXP 	Created Fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='height', win=Window(...), wrapWidth=1)
10.4318 	EXP 	Created stim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.2,  0.2]), texRes=128, units='height', win=Window(...))
10.4434 	EXP 	Created answerprompt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='answerprompt', opacity=1.0, ori=0, pos=array([ 0. ,  0.4]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units='height', win=Window(...), wrapWidth=1)
10.4758 	EXP 	Created practiceinstr = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='practiceinstr', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u"Let's Practice!\n\nPress Space to Continue", units='height', win=Window(...), wrapWidth=1)
10.4791 	EXP 	Created Fixation2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='height', win=Window(...), wrapWidth=1)
10.4808 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.2,  0.2]), texRes=128, units='height', win=Window(...))
10.4919 	EXP 	Created feedbacktext = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='feedbacktext', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units='height', win=Window(...), wrapWidth=1)
10.7189 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
10.7358 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units='height', win=Window(...), wrapWidth=1)
10.7643 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Get Ready!', units='height', win=Window(...), wrapWidth=1)
10.7681 	EXP 	Created Fixation2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fixation2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='height', win=Window(...), wrapWidth=1)
10.7702 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.2,  0.2]), texRes=128, units='height', win=Window(...))
10.7813 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'default text', units='height', win=Window(...), wrapWidth=1)
10.7825 	EXP 	window1: blendMode = 'avg'
10.7948 	EXP 	Instr1Text: autoDraw = True
10.7952 	EXP 	window1: blendMode = 'avg'
10.8227 	EXP 	window1: blendMode = 'avg'
10.8424 	EXP 	window1: blendMode = 'avg'
10.8591 	EXP 	window1: blendMode = 'avg'
10.8760 	EXP 	window1: blendMode = 'avg'
10.8925 	EXP 	window1: blendMode = 'avg'
10.9100 	EXP 	window1: blendMode = 'avg'
10.9265 	EXP 	window1: blendMode = 'avg'
10.9428 	EXP 	window1: blendMode = 'avg'
10.9594 	EXP 	window1: blendMode = 'avg'
10.9762 	EXP 	window1: blendMode = 'avg'
10.9930 	EXP 	window1: blendMode = 'avg'
11.0096 	EXP 	window1: blendMode = 'avg'
11.0264 	EXP 	window1: blendMode = 'avg'
11.0427 	EXP 	window1: blendMode = 'avg'
11.0593 	EXP 	window1: blendMode = 'avg'
11.0767 	EXP 	window1: blendMode = 'avg'
11.0926 	EXP 	window1: blendMode = 'avg'
11.1096 	EXP 	window1: blendMode = 'avg'
11.1260 	EXP 	window1: blendMode = 'avg'
11.1423 	EXP 	window1: blendMode = 'avg'
11.1590 	EXP 	window1: blendMode = 'avg'
11.1758 	EXP 	window1: blendMode = 'avg'
11.1924 	EXP 	window1: blendMode = 'avg'
11.2094 	EXP 	window1: blendMode = 'avg'
11.2259 	EXP 	window1: blendMode = 'avg'
11.2430 	EXP 	window1: blendMode = 'avg'
11.2595 	EXP 	window1: blendMode = 'avg'
11.2759 	EXP 	window1: blendMode = 'avg'
11.2924 	EXP 	window1: blendMode = 'avg'
11.3099 	EXP 	window1: blendMode = 'avg'
11.3264 	EXP 	window1: blendMode = 'avg'
11.3427 	EXP 	window1: blendMode = 'avg'
11.3590 	EXP 	window1: blendMode = 'avg'
11.3759 	EXP 	window1: blendMode = 'avg'
11.3924 	EXP 	window1: blendMode = 'avg'
11.4094 	EXP 	window1: blendMode = 'avg'
11.4259 	EXP 	window1: blendMode = 'avg'
11.4422 	EXP 	window1: blendMode = 'avg'
11.4590 	EXP 	window1: blendMode = 'avg'
11.4759 	EXP 	window1: blendMode = 'avg'
11.4929 	EXP 	window1: blendMode = 'avg'
11.5104 	EXP 	window1: blendMode = 'avg'
11.5272 	EXP 	window1: blendMode = 'avg'
11.5438 	EXP 	window1: blendMode = 'avg'
11.5605 	EXP 	window1: blendMode = 'avg'
11.5768 	EXP 	window1: blendMode = 'avg'
11.5929 	EXP 	window1: blendMode = 'avg'
11.6098 	DATA 	Keypress: space
11.7988 	EXP 	window1: blendMode = 'avg'
11.8112 	EXP 	Instr1Text: autoDraw = False
11.8112 	EXP 	Instr1Text: autoDraw = False
11.8112 	EXP 	Instr2Text: text = 'When the image of a heart is shown you will press the key that is on the SAME side of the screen that the heart is shown on. \n\nFor example, a correct response would be pressing the "1" key when the heart is on the left side of the screen\n\nPress space to continue.'
11.8112 	EXP 	Instr2Text: autoDraw = True
11.8120 	EXP 	window1: blendMode = 'avg'
11.8272 	EXP 	window1: blendMode = 'avg'
11.8431 	EXP 	window1: blendMode = 'avg'
11.8591 	EXP 	window1: blendMode = 'avg'
11.8757 	EXP 	window1: blendMode = 'avg'
11.8925 	EXP 	window1: blendMode = 'avg'
11.9095 	EXP 	window1: blendMode = 'avg'
11.9260 	EXP 	window1: blendMode = 'avg'
11.9426 	EXP 	window1: blendMode = 'avg'
11.9587 	EXP 	window1: blendMode = 'avg'
11.9753 	EXP 	window1: blendMode = 'avg'
11.9922 	EXP 	window1: blendMode = 'avg'
12.0091 	EXP 	window1: blendMode = 'avg'
12.0258 	EXP 	window1: blendMode = 'avg'
12.0426 	EXP 	window1: blendMode = 'avg'
12.0590 	EXP 	window1: blendMode = 'avg'
12.0757 	EXP 	window1: blendMode = 'avg'
12.0922 	EXP 	window1: blendMode = 'avg'
12.1094 	EXP 	window1: blendMode = 'avg'
12.1258 	EXP 	window1: blendMode = 'avg'
12.1422 	EXP 	window1: blendMode = 'avg'
12.1589 	EXP 	window1: blendMode = 'avg'
12.1758 	EXP 	window1: blendMode = 'avg'
12.1922 	DATA 	Keypress: space
12.1932 	EXP 	window1: blendMode = 'avg'
12.2093 	EXP 	Instr2Text: autoDraw = False
12.2093 	EXP 	Instr2Text: autoDraw = False
